target,high_q,class_weight,n,event_rate,roc_auc,pr_auc,accuracy_0p5,f1_0p5,precision_0p5,recall_0p5,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_recall_threshold_p>=0.10,best_recall_p>=0.10,precision_at_best_recall_p>=0.10
target_parkvol_next7d,0.85,None,281,0.08185053380782918,0.7229524772497472,0.2610838318300706,0.8896797153024911,0.39215686274509803,0.35714285714285715,0.43478260869565216,0.5,0.39215686274509803,0.35714285714285715,0.43478260869565216,0.15,0.7391304347826086,0.14285714285714285
target_parkvol_next7d,0.85,balanced,281,0.08185053380782918,0.736602628918099,0.25981274874971816,0.6619217081850534,0.25196850393700787,0.15384615384615385,0.6956521739130435,0.85,0.39215686274509803,0.35714285714285715,0.43478260869565216,0.1,0.9130434782608695,0.1024390243902439
target_parkvol_next7d,0.9,None,281,0.02491103202846975,0.47862356621480706,0.03137095069371839,0.9572953736654805,0.0,0.0,0.0,0.15,0.09375,0.05263157894736842,0.42857142857142855,,,
target_parkvol_next7d,0.9,balanced,281,0.02491103202846975,0.5224191866527632,0.034382885946144484,0.7259786476868327,0.07228915662650602,0.039473684210526314,0.42857142857142855,0.5,0.07228915662650602,0.039473684210526314,0.42857142857142855,,,
target_parkvol_next7d,0.95,None,281,0.0,,,0.99644128113879,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,
target_parkvol_next7d,0.95,balanced,281,0.0,,,0.8078291814946619,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,
target_absret_next7d,0.85,None,281,0.07829181494661921,0.696911196911197,0.16231847540980224,0.8576512455516014,0.2,0.17857142857142858,0.22727272727272727,0.2,0.2549019607843137,0.1625,0.5909090909090909,0.05,0.8181818181818182,0.10227272727272728
target_absret_next7d,0.85,balanced,281,0.07829181494661921,0.707967707967708,0.15815304046522596,0.6832740213523132,0.22608695652173913,0.13978494623655913,0.5909090909090909,0.85,0.24561403508771928,0.2,0.3181818181818182,0.05,1.0,0.1
target_absret_next7d,0.9,None,281,0.03202846975088968,0.4105392156862745,0.028203051853379457,0.9537366548042705,0.0,0.0,0.0,0.05,0.03821656050955414,0.02027027027027027,0.3333333333333333,,,
target_absret_next7d,0.9,balanced,281,0.03202846975088968,0.46200980392156865,0.030618972855921744,0.7153024911032029,0.0,0.0,0.0,0.05,0.08108108108108109,0.04225352112676056,1.0,,,
target_absret_next7d,0.95,None,281,0.0,,,0.99644128113879,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,
target_absret_next7d,0.95,balanced,281,0.0,,,0.8256227758007118,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,
