predictor,n,mae,rmse,r2,best_baseline,skill_vs_bestbase_mae,target,setting
base_roll14,290,0.0040209936223745135,0.005559074163748737,-0.19104418497541054,base_roll14,0.0,target_parkvol_next7d,FULL
base_roll7,290,0.004211104683848171,0.005994005650181517,-0.3847049128665456,base_roll14,0.0472796227320031,target_parkvol_next7d,FULL
hgb,290,0.00424567794057944,0.005713642929764086,-0.2581984012014731,base_roll14,0.0558778101399334,target_parkvol_next7d,FULL
ridge_a1,290,0.0050223908623734746,0.006421346434248762,-0.5891874945682818,base_roll14,0.2490422353387387,target_parkvol_next7d,FULL
ridgecv,290,0.005083439246868463,0.006557434434043386,-0.6572607731647506,base_roll14,0.2642246480029342,target_parkvol_next7d,FULL
base_expanding_mean,290,0.005867366936688956,0.006725137268545768,-0.743111803004906,base_roll14,0.4591833481258062,target_parkvol_next7d,FULL
base_persist,290,0.007164046319359692,0.010131444722779766,-2.9560857411923718,base_roll14,0.7816607018464045,target_parkvol_next7d,FULL
base_roll14,290,0.004876535467952979,0.006005883293108543,-0.36096475127534644,base_roll14,0.0,target_absret_next7d,FULL
hgb,290,0.004911545885028515,0.006322365665723008,-0.5081770253645428,base_roll14,0.007179362747510605,target_absret_next7d,FULL
ridgecv,290,0.005377852683970627,0.006930404691129014,-0.8122173773613957,base_roll14,0.1028019214280597,target_absret_next7d,FULL
ridge_a1,290,0.005405617583272472,0.0069110917364165764,-0.8021312402683696,base_roll14,0.10849549209606905,target_absret_next7d,FULL
base_expanding_mean,290,0.005511345367666031,0.006637969298975236,-0.6625073679338453,base_roll14,0.13017641394896412,target_absret_next7d,FULL
base_roll7,290,0.005516195252679867,0.007159934942423485,-0.9342439724884852,base_roll14,0.13117094891045633,target_absret_next7d,FULL
base_persist,290,0.009747049802207334,0.013311308352771853,-5.685510689631843,base_roll14,0.998765284547156,target_absret_next7d,FULL
base_roll14,290,0.0040209936223745135,0.005559074163748737,-0.19104418497541054,base_roll14,0.0,target_parkvol_next7d,MARKET_ONLY
base_roll7,290,0.004211104683848171,0.005994005650181517,-0.3847049128665456,base_roll14,0.0472796227320031,target_parkvol_next7d,MARKET_ONLY
ridgecv,290,0.004767710507416326,0.00635611498562604,-0.5570638702240669,base_roll14,0.18570456836508337,target_parkvol_next7d,MARKET_ONLY
ridge_a1,290,0.0047946939859759485,0.006409067608516225,-0.5831156528159083,base_roll14,0.19241521779498433,target_parkvol_next7d,MARKET_ONLY
hgb,290,0.005044691029631095,0.006771788627148259,-0.7673791386230111,base_roll14,0.2545881698394882,target_parkvol_next7d,MARKET_ONLY
base_expanding_mean,290,0.005867366936688956,0.006725137268545768,-0.743111803004906,base_roll14,0.4591833481258062,target_parkvol_next7d,MARKET_ONLY
base_persist,290,0.007164046319359692,0.010131444722779766,-2.9560857411923718,base_roll14,0.7816607018464045,target_parkvol_next7d,MARKET_ONLY
base_roll14,290,0.004876535467952979,0.006005883293108543,-0.36096475127534644,base_roll14,0.0,target_absret_next7d,MARKET_ONLY
ridgecv,290,0.005171151087405936,0.00660940628839188,-0.6482306976357393,base_roll14,0.060414944459868385,target_absret_next7d,MARKET_ONLY
ridge_a1,290,0.005279957708890778,0.006758515416936147,-0.7234382102306602,base_roll14,0.08272722378191648,target_absret_next7d,MARKET_ONLY
base_expanding_mean,290,0.005511345367666031,0.006637969298975236,-0.6625073679338453,base_roll14,0.13017641394896412,target_absret_next7d,MARKET_ONLY
base_roll7,290,0.005516195252679867,0.007159934942423485,-0.9342439724884852,base_roll14,0.13117094891045633,target_absret_next7d,MARKET_ONLY
hgb,290,0.0055365797967295615,0.00728944656346162,-1.0048515151266817,base_roll14,0.13535107723796566,target_absret_next7d,MARKET_ONLY
base_persist,290,0.009747049802207334,0.013311308352771853,-5.685510689631843,base_roll14,0.998765284547156,target_absret_next7d,MARKET_ONLY
